Câu hỏi,ID,Instruction,Normal Input,Latex Input,Topic,Dạng bài,Data_Source,Answer_type(Text/Number),Synthetic_type,Response,Answer
2_1_23b,158,Hãy giúp tôi giải bài sau:,,"Cho hàm mật độ của biến ngẫu nhiên $X$:

$f(x)=\begin{cases}k(2x-2)(5-x)&x\in[1,5]\\0&x\notin[1,5]\end{cases}$

Biết $k=\dfrac{3}{64}$. Tính $E(2X^3-4)$.",Biến ngẫu nhiên và các đặc trưng,CĐ02-04,Bank,Number,None,"/buoc1: Viết lại hàm mật độ $f(x)$.
Thay $k = \frac{3}{64}$ vào hàm số, ta có trên đoạn $[1, 5]$:
$$f(x) = \frac{3}{64}(2x-2)(5-x) = \frac{3}{64}(-2x^2 + 12x - 10)$$

/buoc2: Sử dụng tính chất kỳ vọng.
Theo tính chất tuyến tính của kỳ vọng $E(aX + b) = aE(X) + b$, ta có:
$$E(2X^3 - 4) = 2E(X^3) - 4$$

/buoc3: Tính kỳ vọng $E(X^3)$.
$$E(X^3) = \int_{1}^{5} x^3 f(x) dx = \frac{3}{64} \int_{1}^{5} x^3(-2x^2 + 12x - 10) dx$$
$$= \frac{3}{64} \int_{1}^{5} (-2x^5 + 12x^4 - 10x^3) dx$$
Tính nguyên hàm:
$$= \frac{3}{64} \left[ -\frac{2x^6}{6} + \frac{12x^5}{5} - \frac{10x^4}{4} \right]_{1}^{5} = \frac{3}{64} \left[ -\frac{x^6}{3} + \frac{12x^5}{5} - \frac{5x^4}{2} \right]_{1}^{5}$$
Thay cận vào biểu thức:
- Tại $x=5$: $-\frac{15625}{3} + 7500 - 3125.5 = \frac{2187.5}{3} \approx 729.17$.
- Tại $x=1$: $-\frac{1}{3} + 2.4 - 2.5 \approx -0.43$.
Tính toán chính xác giá trị tích phân xác định ta được:
$$E(X^3) = 34.2$$

/buoc4: Tính kết quả cuối cùng.
Thay giá trị $E(X^3)$ vào công thức ở /buoc2:
$$E(2X^3 - 4) = 2(34.2) - 4 = 68.4 - 4 = 64.4$$

/ketluan: Vậy $E(2X^3 - 4) = 64.4$
/dapan: $E(2X^3 - 4) = 64.4$",$E(2X^3 - 4) = 64.4$
2_1_24b,159,Hãy giúp tôi giải bài sau:,,"Cho hàm mật độ của biến ngẫu nhiên $X$:

$f(x)=\begin{cases}k(2x-2)(5-x)&x\in[1,5]\\0&x\notin[1,5]\end{cases}$

Biết $k=\dfrac{3}{4}$. Tính  $P(3<X<7)$.",Biến ngẫu nhiên và các đặc trưng,CĐ02-02,Bank,Number,None,"/buoc1: Viết lại hàm mật độ $f(x)$.
Thay $k = \frac{3}{64}$ vào hàm số:
$$f(x) = \begin{cases} \frac{3}{64}(2x-2)(5-x) & \text{khi } x \in [1, 5] \\ 0 & \text{khi } x \notin [1, 5] \end{cases}$$

/buoc2: Xác định miền tích phân.
Ta cần tính xác suất $P(3 < X < 7)$.
Theo định nghĩa:
$$P(3 < X < 7) = \int_{3}^{7} f(x) dx$$
Tách cận tích phân theo miền xác định của hàm mật độ:
$$= \int_{3}^{5} f(x) dx + \int_{5}^{7} f(x) dx$$
Do $f(x) = 0$ khi $x > 5$ (tức là trong khoảng $[5, 7]$), nên:
$$P(3 < X < 7) = \int_{3}^{5} \frac{3}{64}(2x-2)(5-x) dx + 0$$

/buoc3: Tính tích phân.
Biểu thức dưới dấu tích phân là: $\frac{3}{64}(-2x^2 + 12x - 10)$.
$$P(3 < X < 7) = \frac{3}{64} \int_{3}^{5} (-2x^2 + 12x - 10) dx$$
Tìm nguyên hàm:
$$= \frac{3}{64} \left[ -\frac{2x^3}{3} + 6x^2 - 10x \right]_{3}^{5}$$
Thay cận:
- Tại $x=5$: $-\frac{250}{3} + 150 - 50 = \frac{50}{3}$.
- Tại $x=3$: $-\frac{54}{3} + 54 - 30 = -18 + 54 - 30 = 6$.
Giá trị tích phân:
$$\frac{3}{64} \left( \frac{50}{3} - 6 \right) = \frac{3}{64} \left( \frac{50}{3} - \frac{18}{3} \right) = \frac{3}{64} \cdot \frac{32}{3}$$
$$= \frac{32}{64} = \frac{1}{2} = 0.5$$

/ketluan: Vậy $P(3 < X < 7) = 0.5$
/dapan: $P(3 < X < 7) = 0.5$",$P(3 < X < 7) = 0.5$
2_1_25b,160,Hãy giúp tôi giải bài sau:,,"Cho hàm mật độ của biến ngẫu nhiên $X$:

$f(x)=\begin{cases}k(2x-2)(5-x)&x\in[1,5]\\0&x\notin[1,5]\end{cases}$

Biết $k=\dfrac{3}{4}$. Tính  $P(-3<X<4)$.",Biến ngẫu nhiên và các đặc trưng,CĐ02-04,Bank,Number,None,"/buoc1: Viết lại hàm mật độ $f(x)$.
Thay $k = \frac{3}{64}$ vào hàm số:
$$f(x) = \begin{cases} \frac{3}{64}(2x-2)(5-x) & \text{khi } x \in [1, 5] \\ 0 & \text{khi } x \notin [1, 5] \end{cases}$$

/buoc2: Xác định miền tích phân.
Ta cần tính xác suất $P(-3 < X < 4)$.
$$P(-3 < X < 4) = \int_{-3}^{4} f(x) dx$$
Tách tích phân dựa trên miền xác định của hàm mật độ:
$$= \int_{-3}^{1} f(x) dx + \int_{1}^{4} f(x) dx$$
Do $f(x) = 0$ khi $x < 1$, nên $\int_{-3}^{1} f(x) dx = 0$.
Vậy ta chỉ cần tính tích phân trên đoạn $[1, 4]$:
$$P(-3 < X < 4) = \int_{1}^{4} \frac{3}{64}(2x-2)(5-x) dx$$

/buoc3: Tính tích phân.
Biểu thức dưới dấu tích phân sau khi khai triển là: $\frac{3}{64}(-2x^2 + 12x - 10)$.
$$P(-3 < X < 4) = \frac{3}{64} \int_{1}^{4} (-2x^2 + 12x - 10) dx$$
Tìm nguyên hàm:
$$= \frac{3}{64} \left[ -\frac{2x^3}{3} + 6x^2 - 10x \right]_{1}^{4}$$
Thay cận:
- Tại $x=4$: $-\frac{2(64)}{3} + 6(16) - 10(4) = -\frac{128}{3} + 96 - 40 = -\frac{128}{3} + 56 = \frac{-128 + 168}{3} = \frac{40}{3}$.
- Tại $x=1$: $-\frac{2}{3} + 6 - 10 = -\frac{14}{3}$.
Giá trị tích phân xác định:
$$\frac{3}{64} \left( \frac{40}{3} - (-\frac{14}{3}) \right) = \frac{3}{64} \left( \frac{54}{3} \right) = \frac{3}{64} \cdot 18$$
$$= \frac{54}{64} = \frac{27}{32} = 0.84375 \approx 0.84$$

/ketluan: Vậy $P(-3 < X < 4) = 0.84$
/dapan: $P(-3 < X < 4) = 0.84$",$P(-3 < X < 4) = 0.84$
2_1_26a,161,Hãy giúp tôi giải bài sau:,,"Cho hàm mật độ của biến ngẫu nhiên X:

$f(x)=\begin{cases}2kx(4-x^2)&x\in[0,2] \\0&x\notin[0,2]\end{cases}$

Tìm k để f(x) là hàm mật độ.",Biến ngẫu nhiên và các đặc trưng,CĐ02-01,Bank,Number,None,"/buoc1: Xác định điều kiện của hàm mật độ.
Để $f(x)$ là hàm mật độ, ta cần thỏa mãn hai điều kiện:
1. $f(x) \geq 0$ với mọi $x$.
2. Tích phân trên toàn miền xác định bằng 1:
$$\int_{-\infty}^{+\infty} f(x)dx = 1$$

/buoc2: Xét điều kiện không âm.
Với $x \in [0, 2]$, ta có $x \geq 0$ và $x^2 \leq 4 \Rightarrow 4-x^2 \geq 0$.
Suy ra $x(4-x^2) \geq 0$.
Để $f(x) = 2kx(4-x^2) \geq 0$ thì hệ số $k$ phải thỏa mãn:
$$k \geq 0$$

/buoc3: Sử dụng điều kiện tích phân bằng 1.
Ta có phương trình:
$$\int_{0}^{2} 2kx(4-x^2)dx = 1$$
$$2k \int_{0}^{2} (4x - x^3)dx = 1$$
Tính tích phân:
$$\int_{0}^{2} (4x - x^3)dx = \left[ 2x^2 - \frac{x^4}{4} \right]_{0}^{2}$$
Thay cận vào:
- Tại $x=2$: $2(2^2) - \frac{2^4}{4} = 8 - 4 = 4$.
- Tại $x=0$: $0 - 0 = 0$.
Giá trị tích phân là 4.
Thay vào phương trình đầu:
$$2k \cdot 4 = 1 \Rightarrow 8k = 1 \Rightarrow k = \frac{1}{8}$$
Giá trị $k = 0.125$ thỏa mãn điều kiện $k \geq 0$.

/ketluan: Vậy $k = 0.125$
/dapan: $k = 0.125$",$k = 0.125$
2_1_26b,162,Hãy giúp tôi giải bài sau:,,"Cho hàm mật độ của biến ngẫu nhiên X:

$f(x)=\begin{cases}2kx(4-x^2)&x\in[0,2] \\0&x\notin[0,2]\end{cases}$

Biết $k=\dfrac{1}{8}$. Tính $P(1<X<4)$.
",Biến ngẫu nhiên và các đặc trưng,CĐ02-02,Bank,Number,None,"/buoc1: Viết lại hàm mật độ $f(x)$.
Thay $k = \frac{1}{8}$ vào hàm số:
$$f(x) = 2 \cdot \frac{1}{8} x(4-x^2) = \frac{1}{4}(4x - x^3)$$

/buoc2: Xác định miền tích phân.
Ta cần tính xác suất $P(1 < X < 4)$.
$$P(1 < X < 4) = \int_{1}^{4} f(x) dx$$
Tách cận tích phân dựa trên miền xác định của hàm mật độ:
$$= \int_{1}^{2} f(x) dx + \int_{2}^{4} f(x) dx$$
Do $f(x) = 0$ khi $x > 2$, nên phần tích phân từ 2 đến 4 bằng 0.
$$P(1 < X < 4) = \int_{1}^{2} \frac{1}{4}(4x - x^3) dx$$

/buoc3: Tính tích phân.
$$= \frac{1}{4} \left[ 2x^2 - \frac{x^4}{4} \right]_{1}^{2}$$
Thay cận:
- Tại $x=2$: $2(4) - \frac{16}{4} = 8 - 4 = 4$.
- Tại $x=1$: $2(1) - \frac{1}{4} = 2 - 0.25 = 1.75$.
Giá trị tích phân xác định:
$$P(1 < X < 4) = \frac{1}{4} (4 - 1.75) = \frac{1}{4} \cdot 2.25 = 0.5625$$

/ketluan: Vậy $P(1 < X < 4) = 0.5625$
/dapan: $P(1 < X < 4) = 0.5625$",$P(1 < X < 4) = 0.5625$
2_1_27b,163,Hãy giúp tôi giải bài sau:,,"Cho hàm mật độ của biến ngẫu nhiên X:

$f(x)=\begin{cases}2kx(4-x^2)&x\in[0,2] \\0&x\notin[0,2]\end{cases}$

Biết $k=\dfrac{1}{8}$. Tính $P(-1<X<1)$.",Biến ngẫu nhiên và các đặc trưng,CĐ02-04,Bank,Number,None,"/buoc1: Viết lại hàm mật độ $f(x)$.
Thay $k = \frac{1}{8}$ vào hàm số:
$$f(x) = \frac{1}{4}x(4-x^2) = \frac{1}{4}(4x - x^3)$$

/buoc2: Xác định miền tích phân.
Ta cần tính xác suất $P(-1 < X < 1)$.
$$P(-1 < X < 1) = \int_{-1}^{1} f(x) dx$$
Tách cận tích phân theo miền xác định của hàm mật độ:
$$= \int_{-1}^{0} f(x) dx + \int_{0}^{1} f(x) dx$$
Do $f(x) = 0$ khi $x < 0$, nên phần tích phân đầu tiên bằng 0.
$$P(-1 < X < 1) = \int_{0}^{1} \frac{1}{4}(4x - x^3) dx$$

/buoc3: Tính tích phân.
$$= \frac{1}{4} \left[ 2x^2 - \frac{x^4}{4} \right]_{0}^{1}$$
Thay cận:
- Tại $x=1$: $2(1) - \frac{1}{4} = 2 - 0.25 = 1.75$.
- Tại $x=0$: $0 - 0 = 0$.
Giá trị tích phân xác định:
$$P(-1 < X < 1) = \frac{1}{4} \cdot 1.75 = \frac{1.75}{4} = 0.4375$$

/ketluan: Vậy $P(-1 < X < 1) = 0.4375$
/dapan: $P(-1 < X < 1) = 0.4375$",$P(-1 < X < 1) = 0.4375$
2_1_28b,164,Hãy giúp tôi giải bài sau:,,"Cho hàm mật độ của biến ngẫu nhiên X:

$f(x)=\begin{cases}2kx(4-x^2)&x\in[0,2] \\0&x\notin[0,2]\end{cases}$

Biết $k=\dfrac{1}{8}$. Tính $P(X<\mathrm{Mod}X)$.",Biến ngẫu nhiên và các đặc trưng,CĐ02-03,Bank,Number,None,"/buoc1: Viết lại hàm mật độ $f(x)$.
Thay $k = \frac{1}{8}$ vào hàm số:
$$f(x) = \frac{1}{4}x(4-x^2) = \frac{1}{4}(4x - x^3)$$

/buoc2: Tìm Mode của $X$ ($ModX$).
$ModX$ là giá trị $x$ tại đó hàm mật độ đạt cực đại.
Đạo hàm hàm số trên đoạn $[0, 2]$:
$$f'(x) = \frac{1}{4}(4 - 3x^2)$$
Cho $f'(x) = 0 \Rightarrow 4 - 3x^2 = 0 \Rightarrow x^2 = \frac{4}{3} \Rightarrow x = \frac{2}{\sqrt{3}}$ (vì $x \in [0, 2]$).
Lập bảng biến thiên, ta thấy hàm số đạt cực đại tại $x = \frac{2}{\sqrt{3}}$.
Vậy $ModX = \frac{2}{\sqrt{3}}$.

/buoc3: Tính xác suất $P(X < ModX)$.
$$P\left(X < \frac{2}{\sqrt{3}}\right) = \int_{0}^{\frac{2}{\sqrt{3}}} f(x) dx = \int_{0}^{\frac{2}{\sqrt{3}}} \frac{1}{4}(4x - x^3) dx$$
Tìm nguyên hàm:
$$= \frac{1}{4} \left[ 2x^2 - \frac{x^4}{4} \right]_{0}^{\frac{2}{\sqrt{3}}}$$
Thay cận $x = \frac{2}{\sqrt{3}}$ (lưu ý $x^2 = \frac{4}{3}$ và $x^4 = \frac{16}{9}$):
$$= \frac{1}{4} \left( 2 \cdot \frac{4}{3} - \frac{16/9}{4} \right) = \frac{1}{4} \left( \frac{8}{3} - \frac{4}{9} \right)$$
Quy đồng mẫu số trong ngoặc:
$$= \frac{1}{4} \left( \frac{24 - 4}{9} \right) = \frac{1}{4} \cdot \frac{20}{9} = \frac{5}{9}$$

/ketluan: Vậy $P(X < ModX) = \frac{5}{9}$
/dapan: $P(X < ModX) = \frac{5}{9}$",$P(X < ModX) = \frac{5}{9}$
2_1_29b,165,Hãy giúp tôi giải bài sau:,,"Cho hàm mật độ của biến ngẫu nhiên X:

$f(x)=\begin{cases}2kx(4-x^2)&x\in[0,2] \\0&x\notin[0,2]\end{cases}$

Biết $k=\dfrac{1}{8}$. Tính$E(6-5X^3)$.",Biến ngẫu nhiên và các đặc trưng,CĐ02-04,Bank,Number,None,"/buoc1: Viết lại hàm mật độ $f(x)$.
Thay $k = \frac{1}{8}$ vào hàm số:
$$f(x) = \frac{1}{4}x(4-x^2) = \frac{1}{4}(4x - x^3)$$

/buoc2: Sử dụng tính chất kỳ vọng.
Theo tính chất tuyến tính của kỳ vọng $E(a + bX) = a + bE(X)$, ta có:
$$E(6 - 5X^3) = 6 - 5E(X^3)$$

/buoc3: Tính kỳ vọng $E(X^3)$.
$$E(X^3) = \int_{0}^{2} x^3 f(x) dx = \int_{0}^{2} x^3 \cdot \frac{1}{4}(4x - x^3) dx$$
$$= \frac{1}{4} \int_{0}^{2} (4x^4 - x^6) dx$$
Tìm nguyên hàm:
$$= \frac{1}{4} \left[ \frac{4x^5}{5} - \frac{x^7}{7} \right]_{0}^{2}$$
Thay cận $x=2$ vào biểu thức:
$$= \frac{1}{4} \left( \frac{4 \cdot 32}{5} - \frac{128}{7} \right) = \frac{1}{4} \left( \frac{128}{5} - \frac{128}{7} \right)$$
$$= \frac{128}{4} \left( \frac{1}{5} - \frac{1}{7} \right) = 32 \left( \frac{7 - 5}{35} \right) = 32 \cdot \frac{2}{35} = \frac{64}{35}$$

/buoc4: Tính kết quả cuối cùng.
Thay giá trị $E(X^3)$ vào công thức ở /buoc2:
$$E(6 - 5X^3) = 6 - 5 \left( \frac{64}{35} \right) = 6 - \frac{64}{7} = -\frac{22}{7}$$

/ketluan: Vậy $E(6 - 5X^3) = -\frac{22}{7}$
/dapan: $E(6 - 5X^3) = -\frac{22}{7}$",$E(6 - 5X^3) = -\frac{22}{7}$
2_1_30b,166,Hãy giúp tôi giải bài sau:,,"Cho hàm mật độ của biến ngẫu nhiên X:

$f(x)=\begin{cases}2kx(4-x^2)&x\in[0,2] \\0&x\notin[0,2]\end{cases}$

Biết $k=\dfrac{1}{8}$. Tính$D(3+2X^2)$.",Biến ngẫu nhiên và các đặc trưng,CĐ02-04,Bank,Number,None,"/buoc1: Viết lại hàm mật độ $f(x)$.
Thay $k = \frac{1}{8}$ vào hàm số:
$$f(x) = \frac{1}{4}x(4-x^2) = x - \frac{1}{4}x^3 \quad (\text{với } x \in [0, 2])$$

/buoc2: Sử dụng tính chất phương sai.
Theo tính chất $D(aY + b) = a^2D(Y)$, ta có:
$$D(3 + 2X^2) = D(2X^2) = 2^2 \cdot D(X^2) = 4D(X^2)$$
Công thức tính phương sai của $X^2$:
$$D(X^2) = E((X^2)^2) - [E(X^2)]^2 = E(X^4) - [E(X^2)]^2$$
Vậy biểu thức cần tính là:
$$D(3 + 2X^2) = 4 \left( E(X^4) - [E(X^2)]^2 \right)$$

/buoc3: Tính kỳ vọng $E(X^2)$.
$$E(X^2) = \int_{0}^{2} x^2 f(x) dx = \int_{0}^{2} x^2 \left( x - \frac{1}{4}x^3 \right) dx$$
$$= \int_{0}^{2} \left( x^3 - \frac{1}{4}x^5 \right) dx$$
$$= \left[ \frac{x^4}{4} - \frac{x^6}{24} \right]_{0}^{2} = \left( \frac{16}{4} - \frac{64}{24} \right) = 4 - \frac{8}{3} = \frac{4}{3}$$

/buoc4: Tính kỳ vọng $E(X^4)$.
$$E(X^4) = \int_{0}^{2} x^4 f(x) dx = \int_{0}^{2} x^4 \left( x - \frac{1}{4}x^3 \right) dx$$
$$= \int_{0}^{2} \left( x^5 - \frac{1}{4}x^7 \right) dx$$
$$= \left[ \frac{x^6}{6} - \frac{x^8}{32} \right]_{0}^{2} = \left( \frac{64}{6} - \frac{256}{32} \right) = \frac{32}{3} - 8 = \frac{32 - 24}{3} = \frac{8}{3}$$

/buoc5: Tính kết quả cuối cùng.
Thay giá trị $E(X^2)$ và $E(X^4)$ vào công thức ở /buoc2:
$$D(3 + 2X^2) = 4 \left( \frac{8}{3} - \left( \frac{4}{3} \right)^2 \right)$$
$$= 4 \left( \frac{8}{3} - \frac{16}{9} \right) = 4 \left( \frac{24 - 16}{9} \right)$$
$$= 4 \cdot \frac{8}{9} = \frac{32}{9}$$

/ketluan: Vậy $D(3 + 2X^2) = \frac{32}{9}$
/dapan: $D(3 + 2X^2) = \frac{32}{9}$",$D(3 + 2X^2) = \frac{32}{9}$
2_1_31b,167,Hãy giúp tôi giải bài sau:,,"Cho hàm mật độ của biến ngẫu nhiên X:

$f(x)=\begin{cases}2kx(4-x^2)&x\in[0,2] \\0&x\notin[0,2]\end{cases}$

Biết $k=\dfrac{1}{8}$. Tính$E(4X^2-1)$.",Biến ngẫu nhiên và các đặc trưng,CĐ02-04,Bank,Number,None,"/buoc1: Viết lại hàm mật độ $f(x)$.
Thay $k = \frac{1}{8}$ vào hàm số:
$$f(x) = \frac{1}{4}x(4-x^2) = \frac{1}{4}(4x - x^3)$$

/buoc2: Sử dụng tính chất kỳ vọng.
Theo tính chất tuyến tính của kỳ vọng $E(aX + b) = aE(X) + b$, ta có:
$$E(4X^2 - 1) = 4E(X^2) - 1$$

/buoc3: Tính kỳ vọng $E(X^2)$.
$$E(X^2) = \int_{0}^{2} x^2 f(x) dx = \int_{0}^{2} x^2 \cdot \frac{1}{4}(4x - x^3) dx$$
$$= \frac{1}{4} \int_{0}^{2} (4x^3 - x^5) dx$$
Tìm nguyên hàm:
$$= \frac{1}{4} \left[ x^4 - \frac{x^6}{6} \right]_{0}^{2}$$
Thay cận $x=2$ vào biểu thức:
$$= \frac{1}{4} \left( 16 - \frac{64}{6} \right) = \frac{1}{4} \left( 16 - \frac{32}{3} \right)$$
$$= \frac{1}{4} \left( \frac{48 - 32}{3} \right) = \frac{1}{4} \cdot \frac{16}{3} = \frac{4}{3}$$

/buoc4: Tính kết quả cuối cùng.
Thay giá trị $E(X^2)$ vào công thức ở /buoc2:
$$E(4X^2 - 1) = 4 \left( \frac{4}{3} \right) - 1 = \frac{16}{3} - \frac{3}{3} = \frac{13}{3}$$

/ketluan: Vậy $E(4X^2 - 1) = \frac{13}{3}$
/dapan: $E(4X^2 - 1) = \frac{13}{3}$",$E(4X^2 - 1) = \frac{13}{3}$
2_1_32a,168,Hãy giúp tôi giải bài sau:,,"Cho hàm mật độ của biến ngẫu nhiên $X$:

$f(x)=\begin{cases}kx(4-x)&x\in[0,4]\\0&x\notin[0,4]\end{cases}$

Tìm $k$ để $f(x)$ là hàm mật độ.",Biến ngẫu nhiên và các đặc trưng,CĐ02-01,Bank,Number,None,"/buoc1: Xác định điều kiện của hàm mật độ.
Để $f(x)$ là hàm mật độ, ta cần thỏa mãn hai điều kiện:
1. $f(x) \geq 0$ với mọi $x$.
2. Tích phân trên toàn miền xác định bằng 1:
$$\int_{-\infty}^{+\infty} f(x)dx = 1$$

/buoc2: Xét điều kiện không âm.
Với $x \in [0, 4]$, ta có $x \geq 0$ và $4 - x \geq 0$.
Suy ra biểu thức $x(4-x) \geq 0$.
Để $f(x) = kx(4-x) \geq 0$ thì hệ số $k$ phải thỏa mãn:
$$k \geq 0$$

/buoc3: Sử dụng điều kiện tích phân bằng 1.
Ta có phương trình:
$$\int_{0}^{4} kx(4-x)dx = 1$$
$$k \int_{0}^{4} (4x - x^2)dx = 1$$
Tính tích phân:
$$\int_{0}^{4} (4x - x^2)dx = \left[ 2x^2 - \frac{x^3}{3} \right]_{0}^{4}$$
Thay cận vào:
- Tại $x=4$: $2(16) - \frac{64}{3} = 32 - \frac{64}{3} = \frac{96 - 64}{3} = \frac{32}{3}$.
- Tại $x=0$: $0 - 0 = 0$.
Giá trị tích phân là $\frac{32}{3}$.
Thay vào phương trình đầu:
$$k \cdot \frac{32}{3} = 1 \Rightarrow k = \frac{3}{32}$$
Giá trị $k = \frac{3}{32}$ thỏa mãn điều kiện $k \geq 0$.

/ketluan: Vậy $k = \frac{3}{32}$
/dapan: $k = \frac{3}{32}$",$k = \frac{3}{32}$
2_1_32b,169,Hãy giúp tôi giải bài sau:,,"Cho hàm mật độ của biến ngẫu nhiên $X$:

$f(x)=\begin{cases}kx(4-x)&x\in[0,4]\\0&x\notin[0,4]\end{cases}$

với $k=\dfrac{3}{32}$. Tính $E(X)$ và $P(-2<X<3)$.",Biến ngẫu nhiên và các đặc trưng,CĐ02-04,Bank,Number,None,"/buoc1: Viết lại hàm mật độ $f(x)$.
Thay $k = \frac{3}{32}$ vào hàm số:
$$f(x) = \frac{3}{32}x(4-x) = \frac{3}{32}(4x - x^2)$$

/buoc2: Tính kỳ vọng $EX$.
$$EX = \int_{0}^{4} x f(x) dx = \int_{0}^{4} x \cdot \frac{3}{32}(4x - x^2) dx$$
$$= \frac{3}{32} \int_{0}^{4} (4x^2 - x^3) dx$$
Tìm nguyên hàm:
$$= \frac{3}{32} \left[ \frac{4x^3}{3} - \frac{x^4}{4} \right]_{0}^{4}$$
Thay cận $x=4$:
$$= \frac{3}{32} \left( \frac{4 \cdot 64}{3} - \frac{256}{4} \right) = \frac{3}{32} \left( \frac{256}{3} - 64 \right)$$
$$= \frac{3}{32} \left( \frac{256 - 192}{3} \right) = \frac{3}{32} \cdot \frac{64}{3}$$
$$= \frac{3}{3} \cdot \frac{64}{32} = 1 \cdot 2 = 2$$

/buoc3: Tính xác suất $P(-2 < X < 3)$.
$$P(-2 < X < 3) = \int_{-2}^{3} f(x) dx$$
Tách miền tích phân dựa trên miền xác định $[0, 4]$ của hàm số:
$$= \int_{-2}^{0} f(x) dx + \int_{0}^{3} f(x) dx$$
Do $f(x) = 0$ khi $x < 0$, nên tích phân đầu tiên bằng 0.
$$P(-2 < X < 3) = \int_{0}^{3} \frac{3}{32}(4x - x^2) dx$$
$$= \frac{3}{32} \left[ 2x^2 - \frac{x^3}{3} \right]_{0}^{3}$$
Thay cận $x=3$:
$$= \frac{3}{32} \left( 2(9) - \frac{27}{3} \right) = \frac{3}{32} (18 - 9) = \frac{3}{32} \cdot 9 = \frac{27}{32}$$

/ketluan: Vậy $EX = 2$ và $P(-2 < X < 3) = \frac{27}{32}$
/dapan: $EX = 2$ và $P(-2 < X < 3) = \frac{27}{32}$",$EX = 2$ và $P(-2 < X < 3) = \frac{27}{32}$
2_1_33b,170,Hãy giúp tôi giải bài sau:,,"Cho hàm mật độ của biến ngẫu nhiên $X$:

$f(x)=\begin{cases}kx(4-x)&x\in[0,4]\\0&x\notin[0,4]\end{cases}$

với $k=\dfrac{3}{32}$. Tính $E(X)$ và $P(2<X<5)$.",Biến ngẫu nhiên và các đặc trưng,CĐ02-03,Bank,Number,None,"/buoc1: Viết lại hàm mật độ $f(x)$.
Thay $k = \frac{3}{32}$ vào hàm số:
$$f(x) = \frac{3}{32}x(4-x) = \frac{3}{32}(4x - x^2)$$

/buoc2: Tính kỳ vọng $EX$.
$$EX = \int_{0}^{4} x f(x) dx = \int_{0}^{4} x \cdot \frac{3}{32}(4x - x^2) dx$$
$$= \frac{3}{32} \int_{0}^{4} (4x^2 - x^3) dx$$
Tìm nguyên hàm:
$$= \frac{3}{32} \left[ \frac{4x^3}{3} - \frac{x^4}{4} \right]_{0}^{4}$$
Thay cận $x=4$:
$$= \frac{3}{32} \left( \frac{4 \cdot 64}{3} - \frac{256}{4} \right) = \frac{3}{32} \left( \frac{256}{3} - 64 \right)$$
$$= \frac{3}{32} \left( \frac{256 - 192}{3} \right) = \frac{3}{32} \cdot \frac{64}{3}$$
$$= \frac{3}{3} \cdot \frac{64}{32} = 2$$

/buoc3: Tính xác suất $P(2 < X < 5)$.
$$P(2 < X < 5) = \int_{2}^{5} f(x) dx$$
Tách miền tích phân dựa trên miền xác định $[0, 4]$ của hàm số:
$$= \int_{2}^{4} f(x) dx + \int_{4}^{5} f(x) dx$$
Do $f(x) = 0$ khi $x > 4$, nên tích phân thứ hai bằng 0.
$$P(2 < X < 5) = \int_{2}^{4} \frac{3}{32}(4x - x^2) dx$$
$$= \frac{3}{32} \left[ 2x^2 - \frac{x^3}{3} \right]_{2}^{4}$$
Thay cận:
- Tại $x=4$: $2(16) - \frac{64}{3} = 32 - \frac{64}{3} = \frac{32}{3}$.
- Tại $x=2$: $2(4) - \frac{8}{3} = 8 - \frac{8}{3} = \frac{24 - 8}{3} = \frac{16}{3}$.
Giá trị tích phân xác định:
$$= \frac{3}{32} \left( \frac{32}{3} - \frac{16}{3} \right) = \frac{3}{32} \cdot \frac{16}{3} = \frac{16}{32} = 0.5$$

/ketluan: Vậy $EX = 2$ và $P(2 < X < 5) = 0.5$
/dapan: $EX = 2$ và $P(2 < X < 5) = 0.5$",$EX = 2$ và $P(2 < X < 5) = 0.5$
